support	itemsets
0.006	frozenset({'NeuTraL', 'RCA', 'PReNet'})
0.006	frozenset({'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'Success', 'DevNet'})
0.006	frozenset({'RCA', 'PReNet', 'NeuTraL', 'DeepSVDD', 'DeepSAD'})
0.006	frozenset({'RCA', 'NeuTraL', 'DeepSVDD', 'Success', 'DeepSAD'})
0.006	frozenset({'NeuTraL', 'RCA'})
0.006	frozenset({'RCA', 'PReNet', 'NeuTraL', 'DeepSVDD', 'Success'})
0.006	frozenset({'PReNet', 'DeepSVDD', 'RePEN', 'Success', 'ICL', 'DeepSAD'})
0.006	frozenset({'RCA', 'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN', 'Success'})
0.006	frozenset({'NeuTraL', 'DeepSAD', 'RCA'})
0.006	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN', 'Success', 'ICL'})
0.006	frozenset({'NeuTraL', 'DeepSVDD', 'RePEN', 'Success', 'ICL', 'DeepSAD'})
0.006	frozenset({'RePEN', 'NeuTraL', 'ICL'})
0.006	frozenset({'RePEN', 'DevNet', 'Success', 'PReNet'})
0.006	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN', 'ICL', 'DeepSAD'})
0.006	frozenset({'RCA', 'PReNet', 'NeuTraL', 'DeepSVDD', 'Success', 'DeepSAD'})
0.006	frozenset({'DeepSVDD', 'DevNet', 'PReNet'})
0.006	frozenset({'RePEN', 'ICL', 'DeepSAD'})
0.006	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'Success', 'ICL', 'DeepSAD'})
0.006	frozenset({'RePEN', 'ICL', 'PReNet'})
0.006	frozenset({'NeuTraL', 'SLAD'})
0.006	frozenset({'RCA', 'NeuTraL', 'DeepSVDD', 'RePEN', 'Success', 'DeepSAD'})
0.006	frozenset({'RePEN', 'DevNet', 'PReNet'})
0.006	frozenset({'RePEN', 'ICL', 'Success', 'PReNet'})
0.006	frozenset({'RePEN', 'Success', 'ICL', 'DeepSAD'})
0.006	frozenset({'RePEN', 'ICL', 'DeepSAD', 'PReNet'})
0.006	frozenset({'RCA', 'PReNet', 'DeepSVDD', 'Success', 'DevNet'})
0.006	frozenset({'RePEN', 'RoSAS', 'RCA'})
0.006	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'ICL', 'DeepSAD'})
0.006	frozenset({'PReNet', 'DeepSVDD', 'Success', 'ICL', 'DeepSAD'})
0.006	frozenset({'RePEN', 'ICL', 'DeepSVDD', 'PReNet'})
0.006	frozenset({'RCA', 'PReNet', 'NeuTraL', 'Success', 'DeepSAD'})
0.006	frozenset({'ICL', 'DeepSVDD', 'DeepSAD', 'PReNet'})
0.006	frozenset({'ICL', 'Success', 'DeepSVDD', 'DeepSAD'})
0.006	frozenset({'RCA', 'PReNet', 'NeuTraL', 'RePEN', 'DeepSAD'})
0.006	frozenset({'NeuTraL', 'DeepSVDD', 'Success', 'ICL', 'DeepSAD'})
0.006	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'Success', 'ICL'})
0.006	frozenset({'RCA', 'NeuTraL', 'RePEN', 'Success', 'DeepSAD'})
0.006	frozenset({'RePEN', 'ICL', 'DeepSVDD', 'DeepSAD'})
0.006	frozenset({'PReNet', 'RePEN', 'Success', 'ICL', 'DeepSAD'})
0.006	frozenset({'PReNet', 'NeuTraL', 'RePEN', 'Success', 'ICL'})
0.006	frozenset({'DeepSVDD', 'DevNet', 'Success', 'PReNet'})
