support	itemsets
0.0025	frozenset({'DeepSAD', 'Success', 'DevNet', 'ICL', 'NeuTraL'})
0.0025	frozenset({'GOAD', 'RCA', 'RePEN', 'SLAD'})
0.0025	frozenset({'DeepSAD', 'SLAD', 'ICL'})
0.0025	frozenset({'GOAD', 'RCA', 'Success', 'SLAD'})
0.0025	frozenset({'GOAD', 'RCA', 'RePEN', 'Success'})
0.0025	frozenset({'DeepSAD', 'Success', 'DeepSVDD', 'PReNet'})
0.0025	frozenset({'RoSAS', 'NeuTraL', 'PReNet'})
0.0025	frozenset({'DeepSAD', 'NeuTraL', 'DevNet', 'ICL'})
0.0025	frozenset({'DeepSAD', 'RoSAS', 'DevNet', 'RCA'})
0.0025	frozenset({'DeepSAD', 'Success', 'DevNet', 'RCA', 'RoSAS'})
0.0025	frozenset({'DeepSAD', 'RCA', 'DeepSVDD', 'PReNet'})
0.0025	frozenset({'GOAD', 'RCA', 'RePEN'})
0.0025	frozenset({'GOAD', 'RCA'})
0.0025	frozenset({'GOAD', 'RoSAS', 'Success', 'ICL'})
0.0025	frozenset({'RoSAS', 'NeuTraL', 'DeepSVDD', 'Success'})
0.0025	frozenset({'Success', 'SLAD', 'DeepSVDD', 'GOAD', 'RoSAS'})
0.0025	frozenset({'RoSAS', 'NeuTraL', 'DeepSVDD'})
0.002	frozenset({'RCA', 'NeuTraL'})
0.002	frozenset({'SLAD', 'RePEN', 'Success', 'PReNet'})
0.002	frozenset({'DeepSAD', 'PReNet', 'Success', 'SLAD', 'RePEN'})
0.002	frozenset({'Z_score', 'Success', 'RCA', 'DeepSVDD', 'RePEN'})
0.002	frozenset({'Z_score'})
0.002	frozenset({'RCA', 'NeuTraL', 'Success'})
0.002	frozenset({'DeepSAD', 'SLAD', 'RePEN', 'PReNet'})
0.002	frozenset({'DevNet', 'DeepSVDD', 'PReNet'})
0.002	frozenset({'DeepSAD', 'PReNet', 'DevNet', 'Success', 'DeepSVDD', 'RePEN'})
0.002	frozenset({'Success', 'PReNet', 'DevNet', 'DeepSVDD', 'RePEN'})
0.002	frozenset({'DeepSAD', 'Success', 'PReNet', 'DeepSVDD', 'RePEN'})
0.002	frozenset({'RoSAS', 'RCA', 'PReNet'})
0.002	frozenset({'RoSAS', 'PReNet', 'ICL'})
0.002	frozenset({'RCA', 'Z_score'})
0.002	frozenset({'Quartile', 'Z_score'})
0.002	frozenset({'DeepSAD', 'DevNet', 'DeepSVDD', 'PReNet'})
