support	itemsets
0.012	frozenset({'NeuTraL', 'RePEN', 'Quartile', 'SLAD'})
0.012	frozenset({'Success', 'RePEN', 'Quartile', 'SLAD'})
0.012	frozenset({'Success', 'NeuTraL', 'Quartile', 'SLAD'})
0.012	frozenset({'RCA', 'RePEN', 'SLAD'})
0.012	frozenset({'DeepSVDD', 'Success', 'RePEN', 'RoSAS', 'NeuTraL'})
0.012	frozenset({'RCA', 'RePEN', 'SLAD', 'Success'})
0.012	frozenset({'DeepSVDD', 'Quartile', 'PReNet'})
0.012	frozenset({'DeepSVDD', 'RePEN', 'Quartile', 'PReNet'})
0.012	frozenset({'DeepSVDD', 'DeepSAD', 'NeuTraL', 'RoSAS'})
0.012	frozenset({'NeuTraL', 'Quartile', 'SLAD'})
0.012	frozenset({'Success', 'Quartile', 'SLAD'})
0.012	frozenset({'ICL', 'GOAD', 'DeepSVDD', 'DeepSAD', 'Success'})
0.012	frozenset({'Success', 'RePEN', 'Quartile', 'PReNet'})
0.012	frozenset({'RePEN', 'Quartile', 'SLAD'})
0.012	frozenset({'DeepSVDD', 'Quartile', 'SLAD'})
0.012	frozenset({'DeepSVDD', 'Success', 'RePEN', 'Quartile', 'PReNet'})
0.012	frozenset({'DeepSVDD', 'DeepSAD', 'RePEN', 'RoSAS', 'NeuTraL'})
0.012	frozenset({'DeepSVDD', 'RCA', 'RePEN', 'Success'})
0.012	frozenset({'GOAD', 'Success', 'RePEN', 'RoSAS', 'NeuTraL'})
0.012	frozenset({'DeepSVDD', 'Success', 'NeuTraL', 'RoSAS'})
0.012	frozenset({'GOAD', 'Success', 'NeuTraL', 'RoSAS'})
0.012	frozenset({'Success', 'Quartile', 'PReNet'})
0.012	frozenset({'GOAD', 'DeepSVDD', 'DeepSAD', 'RePEN', 'Success', 'RoSAS'})
0.012	frozenset({'ICL', 'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD', 'Success'})
0.012	frozenset({'GOAD', 'DeepSAD', 'Success', 'RePEN', 'RoSAS'})
0.012	frozenset({'ICL', 'GOAD', 'DevNet', 'DeepSVDD', 'Success'})
0.012	frozenset({'DeepSVDD', 'NeuTraL', 'Quartile', 'SLAD'})
0.012	frozenset({'DeepSAD', 'NeuTraL', 'RoSAS'})
0.012	frozenset({'GOAD', 'DeepSVDD', 'NeuTraL', 'RoSAS'})
0.012	frozenset({'SLAD', 'DeepSVDD', 'Success', 'RePEN', 'Quartile'})
0.012	frozenset({'DeepSVDD', 'RCA'})
